songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
Goodnight TonightWings,Goodnight Tonight,Wings,5.0,1979-03-31,1979-07-14,1979-04-28,1979-06-02,4.0,6.0,6.0,6.0,7.25,15.666666666666666,25.0625,16.0,1.0,2
It's Still Rock And Roll To MeBilly Joel,It's Still Rock And Roll To Me,Billy Joel,1.0,1980-05-24,1980-10-11,1980-06-14,1980-08-23,3.0,11.0,7.0,11.0,10.333333333333334,13.0,20.0,21.0,1.0,5
I Wanna Dance With Somebody (Who Loves Me)Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1.0,1987-05-16,1987-09-12,1987-06-06,1987-08-01,3.0,9.0,6.0,9.0,9.333333333333334,14.666666666666666,23.444444444444443,18.0,1.0,2
Like A PrayerMadonna,Like A Prayer,Madonna,1.0,1989-03-18,1989-07-01,1989-04-08,1989-05-20,3.0,7.0,6.0,7.0,11.0,14.666666666666666,25.875,16.0,1.0,2
Lookin' At MeMase Featuring Puff Daddy,Lookin' At Me,Mase Featuring Puff Daddy,8.0,1998-07-25,1998-11-28,1998-09-12,1998-09-19,7.0,2.0,10.0,2.0,4.0,4.2,24.789473684210527,19.0,1.0,0
In The AyerFlo Rida Featuring will.i.am,In The Ayer,Flo Rida Featuring will.i.am,9.0,2008-07-05,2008-11-22,2008-09-20,2008-09-20,11.0,1.0,9.0,1.0,2.6363636363636362,4.111111111111111,30.523809523809526,21.0,1.0,0
I Hear A SymphonyThe Supremes,I Hear A Symphony,The Supremes,1.0,1965-10-30,1966-01-01,1965-11-13,1965-12-18,2.0,6.0,2.0,6.0,17.0,12.5,11.7,10.0,1.0,2
LadyKenny Rogers,Lady,Kenny Rogers,1.0,1980-10-04,1981-03-21,1980-10-25,1981-01-17,3.0,13.0,9.0,13.0,11.0,9.777777777777779,26.12,25.0,1.0,8
MasterpieceAtlantic Starr,Masterpiece,Atlantic Starr,3.0,1992-02-01,1992-06-13,1992-02-29,1992-04-25,4.0,9.0,7.0,9.0,7.75,4.857142857142857,17.35,20.0,1.0,5
Humpin' AroundBobby Brown,Humpin' Around,Bobby Brown,3.0,1992-08-08,1992-12-19,1992-08-29,1992-10-17,3.0,8.0,9.0,8.0,11.0,4.444444444444445,18.75,20.0,1.0,5
"Have You Seen Your Mother, Baby, Standing In The Shadow?The Rolling Stones","Have You Seen Your Mother, Baby, Standing In The Shadow?",The Rolling Stones,9.0,1966-10-08,1966-11-19,1966-10-29,1966-11-05,3.0,2.0,2.0,2.0,10.333333333333334,18.5,21.571428571428573,7.0,1.0,9
I'll Be ThereJackson 5,I'll Be There,Jackson 5,1.0,1970-09-19,1971-01-02,1970-10-03,1970-12-12,2.0,11.0,3.0,11.0,17.0,8.0,9.125,16.0,1.0,2
I WishStevie Wonder,I Wish,Stevie Wonder,1.0,1976-12-04,1977-03-26,1976-12-25,1977-02-12,3.0,8.0,6.0,8.0,11.0,9.833333333333334,18.11764705882353,17.0,1.0,2
Mr. RobotoStyx,Mr. Roboto,Styx,3.0,1983-02-12,1983-06-11,1983-03-19,1983-05-07,5.0,8.0,5.0,8.0,6.0,12.8,20.5,18.0,1.0,2
Miss Me BlindCulture Club,Miss Me Blind,Culture Club,5.0,1984-03-03,1984-06-16,1984-03-31,1984-05-05,4.0,6.0,6.0,6.0,7.5,15.0,30.375,16.0,1.0,2
Let 'em InWings,Let 'em In,Wings,3.0,1976-07-03,1976-10-16,1976-07-31,1976-09-11,4.0,7.0,5.0,7.0,12.25,17.2,26.8125,16.0,1.0,2
Maybe I'm AmazedWings,Maybe I'm Amazed,Wings,10.0,1977-02-12,1977-05-07,1977-04-02,1977-04-02,7.0,1.0,5.0,1.0,7.0,17.8,29.53846153846154,13.0,1.0,9
No More Tears (Enough Is Enough)Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1.0,1979-10-20,1980-01-26,1979-11-03,1979-12-29,2.0,9.0,4.0,9.0,24.5,21.5,21.0,15.0,1.0,2
I Can't Go For That (No Can Do)Daryl Hall John Oates,I Can't Go For That (No Can Do),Daryl Hall John Oates,1.0,1981-11-14,1982-04-03,1981-12-19,1982-03-06,5.0,12.0,4.0,12.0,10.6,23.25,19.571428571428573,21.0,1.0,5
